Trade_ID,Timestamp,Instrument,Price,Quantity,Trade_Status
T000033,2026-01-08 13:17:19.819273,TCS,411.89,313,SUCCESS
T000034,2026-01-03 11:01:19.819273,MSFT,1794.33,285,SUCCESS
T000035,2026-01-02 14:48:19.819273,TCS,565.07,427,SUCCESS
T000036,2026-01-08 15:27:19.819273,INFY,3098.45,59,SUCCESS
T000037,2026-01-03 04:43:19.819273,AMZN,1313.77,741,SUCCESS
T000038,2026-01-08 18:30:19.819273,GOOG,2441.28,50,SUCCESS
T000039,2026-01-06 16:48:19.819273,TCS,1051.35,741,SUCCESS
T000040,2026-01-08 17:52:19.819273,GOOG,1743.02,938,SUCCESS
T000041,2026-01-09 07:10:19.819273,TSLA,533.09,750,SUCCESS
T000042,2026-01-05 17:54:19.819273,AMZN,2106.24,606,SUCCESS
T000043,2026-01-02 22:27:19.819273,GOOG,319.09,597,SUCCESS
T000044,2026-01-05 09:42:19.819273,INFY,1614.23,570,FAILED
T000045,2026-01-03 22:08:19.819273,INFY,911.71,867,CANCELLED
T000046,2026-01-08 01:42:19.819273,AAPL,2713.95,684,SUCCESS
T000047,2026-01-05 08:08:19.819273,AAPL,2873.58,570,SUCCESS
T000048,2026-01-07 16:04:19.819273,AMZN,462.83,71,SUCCESS
T000049,2026-01-05 04:07:19.819273,TSLA,3090.14,323,SUCCESS
T000050,2026-01-08 22:44:19.819273,AMZN,1595.7,29,SUCCESS
T000051,2026-01-05 19:46:19.819273,GOOG,1596.08,585,SUCCESS
T000052,2026-01-08 01:17:19.819273,AAPL,3431.05,686,SUCCESS
T000053,2026-01-03 17:05:19.819273,AMZN,1672.68,171,SUCCESS
T000054,2026-01-05 19:24:19.819273,AMZN,2091.93,167,SUCCESS
T000055,2026-01-08 23:22:19.819273,MSFT,519.17,740,SUCCESS
T000056,2026-01-06 17:28:19.819273,TCS,2595.15,73,SUCCESS
T000057,2026-01-03 19:39:19.819273,TCS,762.37,947,SUCCESS
T000058,2026-01-08 06:21:19.819273,MSFT,105.48,429,SUCCESS
T000059,2026-01-07 01:31:19.819273,TCS,2045.19,32,SUCCESS
T000060,2026-01-09 11:06:19.819273,TCS,1647.74,679,FAILED
T000061,2026-01-05 16:35:19.819273,GOOG,1545.8,733,SUCCESS
T000062,2026-01-09 08:08:19.819273,MSFT,,440,FAILED
T000063,2026-01-08 02:37:19.819273,TSLA,2842.2,235,SUCCESS
T000064,2026-01-04 09:27:19.819273,TCS,2973.62,128,SUCCESS
T000065,2026-01-05 04:11:19.819273,INFY,1040.48,97,SUCCESS
T000066,2026-01-03 20:56:19.819273,GOOG,1164.5,-1,SUCCESS
T000067,2026-01-03 23:54:19.819273,TSLA,1019.61,779,SUCCESS
T000068,2026-01-06 19:11:19.819273,TSLA,1409.61,90,SUCCESS
T000069,2026-01-06 13:40:19.819273,GOOG,1583.42,409,SUCCESS
T000070,2026-01-09 03:28:19.819273,GOOG,787.33,363,CANCELLED
T000071,2026-01-09 00:54:19.819273,INFY,3263.35,276,SUCCESS
T000072,2026-01-08 11:23:19.819273,TCS,3234.44,898,SUCCESS
T000073,2026-01-08 00:29:19.819273,AAPL,201.34,151,SUCCESS
T000074,2026-01-05 11:40:19.819273,INFY,3294.56,392,SUCCESS
T000075,2026-01-03 12:02:19.819273,TCS,1211.37,623,SUCCESS
T000076,2026-01-07 08:38:19.819273,GOOG,2707.47,778,FAILED
T000077,2026-01-05 22:14:19.819273,AMZN,759.7,565,SUCCESS
T000078,2026-01-04 23:14:19.819273,TCS,2711.17,678,SUCCESS
T000079,2026-01-03 22:24:19.819273,INFY,295.88,791,SUCCESS
T000080,2026-01-08 17:19:19.819273,GOOG,1006.85,267,SUCCESS
T000081,2026-01-07 04:00:19.819273,INFY,2687.02,3,SUCCESS
T000082,2026-01-07 23:50:19.819273,GOOG,902.91,511,SUCCESS
T000083,2026-01-06 08:07:19.819273,AMZN,544.52,852,SUCCESS
T000084,2026-01-04 03:48:19.819273,TCS,261.62,966,SUCCESS
T000085,2026-01-02 14:14:19.819273,AAPL,2885.9,321,SUCCESS
T000086,2026-01-07 17:22:19.819273,TCS,3266.26,186,SUCCESS
T000087,2026-01-08 13:01:19.819273,TCS,914.83,727,SUCCESS
T000088,2026-01-06 18:44:19.819273,AAPL,1677.45,701,SUCCESS
T000089,2026-01-09 09:13:19.819273,MSFT,762.25,667,SUCCESS
T000090,2026-01-03 16:43:19.819273,INFY,1190.02,49,SUCCESS
T000091,2026-01-02 13:21:19.819273,GOOG,1840.1,730,SUCCESS
T000092,2026-01-08 06:04:19.819273,TSLA,1458.9,687,CANCELLED
T000093,2026-01-06 08:40:19.819273,INFY,1460.35,786,CANCELLED
T000094,2026-01-08 07:31:19.819273,TSLA,2495.25,36,SUCCESS
T000095,2026-01-06 09:49:19.819273,TSLA,451.06,582,SUCCESS
T000096,2026-01-08 18:57:19.819273,INFY,664.87,602,SUCCESS
T000097,2026-01-06 11:20:19.819273,MSFT,2773.71,498,CANCELLED
T000098,2026-01-06 19:11:19.819273,INFY,3109.04,572,SUCCESS
T000099,2026-01-03 03:51:19.819273,TSLA,2535.42,379,SUCCESS
T000100,2026-01-02 14:48:19.819273,AAPL,448.78,953,SUCCESS
T000101,2026-01-08 13:34:19.819273,AAPL,169.69,255,SUCCESS
T000102,2026-01-04 10:05:19.819273,TCS,2471.93,452,FAILED
T000103,2026-01-07 21:37:19.819273,AMZN,1522.49,222,SUCCESS
T000104,2026-01-05 06:23:19.819273,AAPL,1144.96,27,SUCCESS
T000105,2026-01-06 14:50:19.819273,TSLA,729.98,93,SUCCESS
T000106,2026-01-06 09:05:19.819273,AMZN,,634,SUCCESS
T000107,2026-01-06 19:37:19.819273,TSLA,2716.9,76,SUCCESS
T000108,2026-01-03 02:02:19.819273,INFY,2789.63,827,SUCCESS
T000109,2026-01-04 20:44:19.819273,TCS,1305.31,382,SUCCESS
T000110,2026-01-07 13:12:19.819273,AMZN,1495.31,757,SUCCESS
T000111,2026-01-05 04:55:19.819273,AAPL,1572.03,76,SUCCESS
T000112,2026-01-03 13:34:19.819273,MSFT,1854.88,388,SUCCESS
T000113,2026-01-04 05:55:19.819273,AAPL,890.96,254,SUCCESS
T000114,2026-01-04 03:48:19.819273,MSFT,2372.18,590,SUCCESS
T000115,2026-01-08 16:03:19.819273,MSFT,805.69,396,SUCCESS
T000116,2026-01-08 13:35:19.819273,INFY,2590.98,938,SUCCESS
T000117,2026-01-08 13:54:19.819273,AMZN,2477.22,680,FAILED
T000118,2026-01-03 09:40:19.819273,INFY,3009.13,582,SUCCESS
T000119,2026-01-04 20:00:19.819273,MSFT,2344.25,247,SUCCESS
T000120,2026-01-06 23:19:19.819273,MSFT,1588.62,316,SUCCESS
T000121,2026-01-03 00:32:19.819273,TSLA,3478.17,29,SUCCESS
T000122,2026-01-04 20:55:19.819273,AMZN,2783.91,852,SUCCESS
T000123,2026-01-06 12:28:19.819273,MSFT,546.7,992,FAILED
T000124,2026-01-06 05:11:19.819273,INFY,3303.49,647,SUCCESS
T000125,2026-01-05 15:59:19.819273,TSLA,1532.92,547,FAILED
T000126,2026-01-04 06:46:19.819273,INFY,478.26,968,SUCCESS
T000127,2026-01-03 06:19:19.819273,GOOG,140.58,431,SUCCESS
T000128,2026-01-04 20:45:19.819273,AAPL,1559.11,56,SUCCESS
T000129,2026-01-05 02:42:19.819273,TSLA,2766.22,906,SUCCESS
T000130,2026-01-03 03:45:19.819273,INFY,931.23,366,SUCCESS
T000131,2026-01-09 04:51:19.819273,AMZN,2648.52,925,SUCCESS
T000132,2026-01-06 20:21:19.819273,GOOG,2064.97,684,SUCCESS
T000133,2026-01-06 20:42:19.819273,TCS,704.64,609,SUCCESS
T000134,2026-01-04 23:39:19.819273,TSLA,2060.83,434,SUCCESS
T000135,2026-01-07 19:24:19.819273,INFY,276.75,-1,SUCCESS
T000136,2026-01-09 05:42:19.819273,GOOG,3339.15,237,SUCCESS
T000137,2026-01-07 04:07:19.819273,AAPL,3278.91,290,SUCCESS
T000138,2026-01-04 01:43:19.819273,TSLA,1776.56,943,SUCCESS
T000139,2026-01-06 22:42:19.819273,TSLA,726.28,222,SUCCESS
T000140,2026-01-04 19:55:19.819273,AAPL,,346,SUCCESS
T000141,2026-01-03 02:35:19.819273,TCS,545.67,157,SUCCESS
T000142,2026-01-07 07:08:19.819273,GOOG,1474.19,121,SUCCESS
T000143,2026-01-07 22:19:19.819273,GOOG,2921.96,887,SUCCESS
T000144,2026-01-05 14:44:19.819273,GOOG,2524.13,385,SUCCESS
T000145,2026-01-08 09:31:19.819273,MSFT,3340.57,597,SUCCESS
T000146,2026-01-08 21:44:19.819273,TCS,306.65,-1,SUCCESS
T000147,2026-01-03 10:06:19.819273,INFY,3164.15,950,SUCCESS
T000148,2026-01-08 02:14:19.819273,GOOG,3123.23,304,SUCCESS
T000149,2026-01-07 21:53:19.819273,GOOG,1013.82,161,SUCCESS
T000150,2026-01-04 21:20:19.819273,TSLA,2650.26,583,SUCCESS
T000151,2026-01-07 11:04:19.819273,AAPL,3298.49,212,SUCCESS
T000152,2026-01-06 03:55:19.819273,AAPL,489.83,748,SUCCESS
T000153,2026-01-07 11:34:19.819273,INFY,1272.98,539,SUCCESS
T000154,2026-01-04 10:47:19.819273,GOOG,1227.57,974,SUCCESS
T000155,2026-01-06 02:53:19.819273,MSFT,2851.54,333,SUCCESS
T000156,2026-01-03 12:21:19.819273,MSFT,2286.62,150,SUCCESS
T000157,2026-01-03 20:38:19.819273,MSFT,2004.05,916,FAILED
T000158,2026-01-06 00:28:19.819273,TSLA,1074.47,585,SUCCESS
T000159,2026-01-06 09:09:19.819273,INFY,2788.29,900,SUCCESS
T000160,2026-01-08 03:00:19.819273,GOOG,2095.31,980,SUCCESS
T000161,2026-01-03 11:52:19.819273,AMZN,2992.99,169,FAILED
T000162,2026-01-05 12:26:19.819273,GOOG,3160.34,384,SUCCESS
T000163,2026-01-08 17:59:19.819273,TSLA,3433.52,111,SUCCESS
T000164,2026-01-03 16:47:19.819273,TSLA,3354.85,142,SUCCESS
T000165,2026-01-03 19:48:19.819273,TCS,1172.26,411,SUCCESS
T000166,2026-01-09 02:00:19.819273,INFY,548.44,233,SUCCESS
T000167,2026-01-08 05:08:19.819273,AMZN,2727.93,104,SUCCESS
T000168,2026-01-06 09:09:19.819273,TCS,692.85,282,FAILED
T000169,2026-01-06 10:00:19.819273,MSFT,2168.46,869,SUCCESS
T000170,2026-01-05 17:45:19.819273,MSFT,1827.12,283,SUCCESS
T000171,2026-01-05 15:49:19.819273,GOOG,177.18,427,SUCCESS
T000172,2026-01-04 16:18:19.819273,INFY,925.05,952,SUCCESS
T000173,2026-01-07 06:18:19.819273,INFY,738.31,444,SUCCESS
T000174,2026-01-03 19:35:19.819273,INFY,1789.08,210,SUCCESS
T000175,2026-01-07 00:43:19.819273,AMZN,2249.91,683,SUCCESS
T000176,2026-01-07 08:50:19.819273,GOOG,114.05,881,SUCCESS
T000177,2026-01-03 20:00:19.819273,INFY,1930.68,992,FAILED
T000178,2026-01-03 07:15:19.819273,GOOG,2771.31,491,SUCCESS
T000179,2026-01-06 07:53:19.819273,TSLA,1755.87,661,SUCCESS
T000180,2026-01-07 12:24:19.819273,TCS,1293.72,515,SUCCESS
T000181,2026-01-03 06:16:19.819273,TCS,817.87,57,SUCCESS
T000182,2026-01-07 22:38:19.819273,AMZN,1501.75,279,CANCELLED
T000183,2026-01-05 19:23:19.819273,GOOG,962.87,18,SUCCESS
T000184,2026-01-05 06:16:19.819273,TCS,2724.94,226,SUCCESS
T000185,2026-01-03 08:13:19.819273,INFY,1614.45,406,SUCCESS
T000186,2026-01-06 09:58:19.819273,INFY,2075.57,451,SUCCESS
T000187,2026-01-04 05:25:19.819273,GOOG,1609.27,15,SUCCESS
T000188,2026-01-06 17:41:19.819273,GOOG,2634.63,882,FAILED
T000189,2026-01-04 05:42:19.819273,TSLA,1531.0,617,SUCCESS
T000190,2026-01-06 04:13:19.819273,AMZN,236.01,270,SUCCESS
T000191,2026-01-05 12:57:19.819273,MSFT,429.09,958,SUCCESS
T000192,2026-01-06 06:43:19.819273,INFY,1911.11,446,SUCCESS
T000193,2026-01-03 06:38:19.819273,AMZN,1209.12,831,SUCCESS
T000194,2026-01-04 17:18:19.819273,TCS,3087.17,434,SUCCESS
T000195,2026-01-04 14:06:19.819273,GOOG,2875.11,652,SUCCESS
T000196,2026-01-06 05:55:19.819273,TCS,2643.99,815,SUCCESS
T000197,2026-01-07 00:55:19.819273,AAPL,1557.67,252,SUCCESS
T000198,2026-01-06 07:29:19.819273,GOOG,1774.8,570,SUCCESS
T000199,2026-01-03 05:42:19.819273,AAPL,2445.6,526,SUCCESS
T000200,2026-01-03 18:40:19.819273,GOOG,879.79,-1,CANCELLED
T000201,2026-01-09 06:32:19.819273,AMZN,1696.37,818,SUCCESS
T000202,2026-01-05 23:51:19.819273,GOOG,2232.32,23,SUCCESS
T000203,2026-01-04 08:57:19.819273,MSFT,2900.16,611,SUCCESS
T000204,2026-01-06 10:22:19.819273,AMZN,2836.71,331,SUCCESS
T000205,2026-01-05 16:41:19.819273,TCS,797.72,399,SUCCESS
T000206,2026-01-05 20:13:19.819273,GOOG,3378.24,819,SUCCESS
T000207,2026-01-08 13:13:19.819273,TSLA,3412.34,844,SUCCESS
T000208,2026-01-08 17:25:19.819273,TCS,1025.44,42,SUCCESS
T000209,2026-01-05 08:44:19.819273,AAPL,1686.96,659,SUCCESS
T000210,2026-01-05 03:05:19.819273,MSFT,2097.4,66,SUCCESS
T000211,2026-01-05 03:09:19.819273,GOOG,1877.7,871,SUCCESS
T000212,2026-01-08 01:57:19.819273,MSFT,3420.61,681,SUCCESS
T000213,2026-01-08 20:32:19.819273,GOOG,594.87,472,CANCELLED
T000214,2026-01-04 06:33:19.819273,TSLA,2072.53,742,SUCCESS
T000215,2026-01-05 10:16:19.819273,MSFT,1912.57,466,SUCCESS
T000216,2026-01-09 10:03:19.819273,INFY,917.32,384,SUCCESS
T000217,2026-01-07 15:31:19.819273,INFY,439.3,130,SUCCESS
T000218,2026-01-08 19:31:19.819273,MSFT,2462.8,5,SUCCESS
T000219,2026-01-06 21:09:19.819273,GOOG,774.98,529,SUCCESS
T000220,2026-01-03 15:08:19.819273,TCS,1203.69,793,SUCCESS
T000221,2026-01-07 15:06:19.819273,MSFT,1876.22,876,SUCCESS
T000222,2026-01-06 23:32:19.819273,TSLA,1763.23,957,SUCCESS
T000223,2026-01-05 20:57:19.819273,INFY,2196.13,318,SUCCESS
T000224,2026-01-04 11:06:19.819273,MSFT,2132.99,928,SUCCESS
T000225,2026-01-09 04:52:19.819273,INFY,2544.99,134,SUCCESS
T000226,2026-01-03 18:28:19.819273,INFY,635.86,373,SUCCESS
T000227,2026-01-04 19:38:19.819273,INFY,1782.27,328,SUCCESS
T000228,2026-01-07 16:44:19.819273,INFY,376.51,33,SUCCESS
T000229,2026-01-05 04:20:19.819273,GOOG,741.96,85,SUCCESS
T000230,2026-01-02 23:01:19.819273,MSFT,787.07,940,SUCCESS
T000231,2026-01-06 12:14:19.819273,GOOG,1872.4,60,SUCCESS
T000232,2026-01-04 14:24:19.819273,INFY,2237.05,218,SUCCESS
T000233,2026-01-08 19:50:19.819273,AAPL,2889.93,989,CANCELLED
T000234,2026-01-04 16:34:19.819273,INFY,1901.34,296,SUCCESS
T000235,2026-01-07 02:08:19.819273,INFY,3173.14,934,SUCCESS
T000236,2026-01-03 06:56:19.819273,AMZN,696.68,351,SUCCESS
T000237,2026-01-04 22:06:19.819273,AAPL,3288.87,329,SUCCESS
T000238,2026-01-03 11:31:19.819273,AMZN,950.13,471,SUCCESS
T000239,2026-01-05 03:45:19.819273,TSLA,2912.39,892,SUCCESS
T000240,2026-01-07 08:37:19.819273,AAPL,1001.71,764,SUCCESS
T000241,2026-01-04 02:05:19.819273,GOOG,3205.74,247,CANCELLED
T000242,2026-01-05 12:45:19.819273,GOOG,1898.09,754,SUCCESS
T000243,2026-01-08 11:40:19.819273,MSFT,1602.8,71,SUCCESS
T000244,2026-01-04 15:18:19.819273,TCS,2543.26,989,SUCCESS
T000245,2026-01-06 08:05:19.819273,MSFT,3361.58,101,SUCCESS
T000246,2026-01-08 15:14:19.819273,MSFT,790.34,705,SUCCESS
T000247,2026-01-04 19:42:19.819273,TCS,1155.65,615,SUCCESS
T000248,2026-01-08 19:17:19.819273,AAPL,1155.29,911,SUCCESS
T000249,2026-01-06 02:07:19.819273,TSLA,2135.97,634,SUCCESS
T000250,2026-01-03 16:58:19.819273,INFY,189.28,410,SUCCESS
T000251,2026-01-06 14:30:19.819273,GOOG,2178.13,166,SUCCESS
T000252,2026-01-06 09:47:19.819273,AAPL,3330.23,637,SUCCESS
T000253,2026-01-07 19:37:19.819273,MSFT,3055.25,904,SUCCESS
T000254,2026-01-08 04:00:19.819273,AAPL,323.07,293,SUCCESS
T000255,2026-01-07 16:32:19.819273,GOOG,2914.0,175,SUCCESS
T000256,2026-01-08 06:20:19.819273,TCS,2559.9,340,SUCCESS
T000257,2026-01-06 06:22:19.819273,MSFT,,654,SUCCESS
T000258,2026-01-04 16:01:19.819273,TSLA,444.24,945,SUCCESS
T000259,2026-01-09 09:53:19.819273,MSFT,1857.68,857,SUCCESS
T000260,2026-01-06 01:45:19.819273,MSFT,2609.27,420,FAILED
T000261,2026-01-02 23:55:19.819273,INFY,776.88,571,SUCCESS
T000262,2026-01-05 19:45:19.819273,AMZN,2539.44,219,SUCCESS
T000263,2026-01-04 18:16:19.819273,MSFT,2851.25,80,SUCCESS
T000264,2026-01-03 05:07:19.819273,AMZN,1129.75,982,SUCCESS
T000265,2026-01-05 14:24:19.819273,GOOG,1472.96,75,SUCCESS
T000266,2026-01-02 15:45:19.819273,GOOG,2103.31,241,SUCCESS
T000267,2026-01-04 13:40:19.819273,AAPL,3194.07,836,SUCCESS
T000268,2026-01-02 13:14:19.819273,MSFT,2933.51,69,SUCCESS
T000269,2026-01-04 11:58:19.819273,AAPL,2410.77,571,CANCELLED
T000270,2026-01-06 02:04:19.819273,GOOG,614.4,292,SUCCESS
T000271,2026-01-09 06:20:19.819273,AAPL,3447.05,788,FAILED
T000272,2026-01-05 18:33:19.819273,MSFT,2221.47,460,SUCCESS
T000273,2026-01-03 08:43:19.819273,MSFT,1688.21,84,SUCCESS
T000274,2026-01-05 02:49:19.819273,GOOG,514.25,622,SUCCESS
T000275,2026-01-05 00:38:19.819273,INFY,544.87,206,SUCCESS
T000276,2026-01-06 21:53:19.819273,MSFT,2167.77,117,SUCCESS
T000277,2026-01-08 13:24:19.819273,INFY,3324.75,859,CANCELLED
T000278,2026-01-08 07:02:19.819273,TCS,3402.03,861,SUCCESS
T000279,2026-01-03 18:41:19.819273,MSFT,2777.04,672,SUCCESS
T000280,2026-01-06 17:14:19.819273,INFY,3388.05,834,FAILED
T000281,2026-01-05 04:56:19.819273,AMZN,1584.11,511,SUCCESS
T000282,2026-01-06 17:34:19.819273,INFY,877.95,540,FAILED
T000283,2026-01-05 14:29:19.819273,AAPL,1358.07,208,SUCCESS
T000284,2026-01-05 09:47:19.819273,GOOG,2554.01,53,SUCCESS
T000285,2026-01-05 05:13:19.819273,TCS,618.7,884,SUCCESS
T000286,2026-01-09 06:13:19.819273,TSLA,1534.24,688,SUCCESS
T000287,2026-01-05 19:03:19.819273,MSFT,471.25,220,SUCCESS
T000288,2026-01-05 20:49:19.819273,TCS,574.05,510,CANCELLED
T000289,2026-01-08 22:52:19.819273,MSFT,1740.98,17,SUCCESS
T000290,2026-01-03 01:05:19.819273,AAPL,1295.45,780,SUCCESS
T000291,2026-01-06 10:18:19.819273,TCS,951.97,112,FAILED
T000292,2026-01-02 18:22:19.819273,AAPL,2141.79,344,SUCCESS
T000293,2026-01-04 05:25:19.819273,AMZN,2199.46,664,SUCCESS
T000294,2026-01-07 10:52:19.819273,GOOG,378.04,744,CANCELLED
T000295,2026-01-09 04:55:19.819273,GOOG,3400.18,893,SUCCESS
T000296,2026-01-05 01:22:19.819273,GOOG,1671.89,348,FAILED
T000297,2026-01-05 15:19:19.819273,GOOG,905.34,327,SUCCESS
T000298,2026-01-05 03:29:19.819273,GOOG,2338.32,584,SUCCESS
T000299,2026-01-08 11:49:19.819273,MSFT,1745.2,876,SUCCESS
T000300,2026-01-03 00:49:19.819273,TCS,,707,SUCCESS
T000301,2026-01-09 09:02:19.819273,TSLA,2881.73,21,SUCCESS
T000302,2026-01-05 19:08:19.819273,TCS,1491.91,590,SUCCESS
T000303,2026-01-07 01:04:19.819273,AMZN,643.32,161,FAILED
T000304,2026-01-07 16:55:19.819273,TCS,3136.93,781,FAILED
T000305,2026-01-08 07:50:19.819273,GOOG,1985.95,347,SUCCESS
T000306,2026-01-05 04:09:19.819273,MSFT,133.75,670,SUCCESS
T000307,2026-01-06 09:31:19.819273,INFY,3319.62,448,SUCCESS
T000308,2026-01-04 05:39:19.819273,TSLA,2847.09,449,FAILED
T000309,2026-01-05 05:48:19.819273,TCS,2407.42,234,SUCCESS
T000310,2026-01-02 23:27:19.819273,AMZN,2131.75,644,SUCCESS
T000311,2026-01-05 02:18:19.819273,AMZN,2215.1,522,SUCCESS
T000312,2026-01-07 21:21:19.819273,INFY,1742.49,947,SUCCESS
T000313,2026-01-02 21:01:19.819273,INFY,2120.62,334,SUCCESS
T000314,2026-01-07 22:49:19.819273,MSFT,1971.28,37,SUCCESS
T000315,2026-01-05 12:17:19.819273,MSFT,3349.9,971,SUCCESS
T000316,2026-01-06 21:32:19.819273,TCS,1040.75,196,FAILED
T000317,2026-01-08 17:39:19.819273,MSFT,1075.96,-1,FAILED
T000318,2026-01-08 17:45:19.819273,TCS,280.62,317,SUCCESS
T000319,2026-01-04 01:24:19.819273,INFY,1105.41,355,SUCCESS
T000320,2026-01-08 23:58:19.819273,MSFT,3086.06,298,SUCCESS
T000321,2026-01-03 20:36:19.819273,TSLA,2348.47,470,SUCCESS
T000322,2026-01-05 08:59:19.819273,INFY,1126.69,130,SUCCESS
T000323,2026-01-08 18:53:19.819273,TSLA,1299.26,319,CANCELLED
T000324,2026-01-04 14:05:19.819273,INFY,3278.2,246,SUCCESS
T000325,2026-01-06 05:15:19.819273,INFY,3333.45,830,SUCCESS
T000326,2026-01-03 01:31:19.819273,GOOG,167.75,155,FAILED
T000327,2026-01-08 06:19:19.819273,MSFT,2146.72,992,SUCCESS
T000328,2026-01-06 14:12:19.819273,INFY,3233.8,872,SUCCESS
T000329,2026-01-07 01:02:19.819273,TCS,1940.92,313,SUCCESS
T000330,2026-01-08 03:56:19.819273,GOOG,944.73,340,SUCCESS
T000331,2026-01-08 22:35:19.819273,MSFT,2555.14,164,SUCCESS
T000332,2026-01-04 14:50:19.819273,AAPL,194.87,602,SUCCESS
T000333,2026-01-03 06:03:19.819273,AMZN,,87,SUCCESS
T000334,2026-01-06 01:38:19.819273,AAPL,1735.07,559,SUCCESS
T000335,2026-01-05 05:26:19.819273,TSLA,3445.93,621,SUCCESS
T000336,2026-01-05 20:21:19.819273,TSLA,2093.79,772,SUCCESS
T000337,2026-01-09 07:03:19.819273,INFY,257.91,535,FAILED
T000338,2026-01-07 21:50:19.819273,GOOG,1797.13,305,FAILED
T000339,2026-01-03 18:55:19.819273,AAPL,3130.58,979,SUCCESS
T000340,2026-01-08 06:30:19.819273,TCS,3315.8,31,SUCCESS
T000341,2026-01-04 07:41:19.819273,AMZN,1734.27,214,CANCELLED
T000342,2026-01-03 05:20:19.819273,TCS,2621.51,559,SUCCESS
T000343,2026-01-04 14:55:19.819273,AMZN,2179.55,791,SUCCESS
T000344,2026-01-04 22:56:19.819273,TCS,718.43,952,SUCCESS
T000345,2026-01-06 01:56:19.819273,AAPL,1540.64,657,SUCCESS
T000346,2026-01-07 02:12:19.819273,TCS,3239.88,365,SUCCESS
T000347,2026-01-06 01:22:19.819273,INFY,1666.99,193,SUCCESS
T000348,2026-01-03 15:37:19.819273,INFY,1972.8,133,SUCCESS
T000349,2026-01-07 09:47:19.819273,GOOG,2143.82,848,SUCCESS
T000350,2026-01-05 12:03:19.819273,TCS,1265.25,524,SUCCESS
T000351,2026-01-02 17:07:19.819273,TCS,3391.31,29,SUCCESS
T000352,2026-01-05 08:48:19.819273,INFY,1224.7,253,SUCCESS
T000353,2026-01-05 12:11:19.819273,AAPL,2399.81,735,SUCCESS
T000354,2026-01-05 15:25:19.819273,AAPL,3475.53,55,SUCCESS
T000355,2026-01-09 10:00:19.819273,INFY,3161.43,294,SUCCESS
T000356,2026-01-04 10:31:19.819273,TCS,100.63,543,FAILED
T000357,2026-01-06 01:21:19.819273,GOOG,3192.35,590,FAILED
T000358,2026-01-06 02:28:19.819273,TCS,1262.98,872,SUCCESS
T000359,2026-01-05 14:41:19.819273,MSFT,3284.46,702,FAILED
T000360,2026-01-04 17:49:19.819273,MSFT,,662,SUCCESS
T000361,2026-01-06 03:27:19.819273,AAPL,2582.09,383,SUCCESS
T000362,2026-01-08 07:42:19.819273,TSLA,2163.44,255,SUCCESS
T000363,2026-01-05 03:45:19.819273,AAPL,2809.82,687,SUCCESS
T000364,2026-01-03 21:40:19.819273,GOOG,1860.74,215,SUCCESS
T000365,2026-01-05 20:00:19.819273,INFY,2603.44,173,SUCCESS
